Rating,Review Text
5.0,"Lezzet, sunum, temizlik ust seviye.  Kalabalık ancak sıra beklemiyorsunuz. Servis cok hızlı. Manda yogurdu efsane. TuZu ve yağı yerinde lezzeti şahane. Lavaşın için kebabı alarak yemek paha biçilemez. Fiyat kalite dengesi mukemmel."
5.0,Geçmişe dönük puanlama yaptığımda 5’den az veremeyeceğim mekanlardan biri. Ben lezzete ve hizmete bakarım. Bu konularda da gayet iyiler.
1.0,"Cağ kebabı ilk defa tadacak turistler için ideal. Şiş kiralıyorsunuz. Yanında tadımlık et veriyorlar.  Üstelik sırada bekletip yan taraftaki çay ocağına oturtup servis açmalar, döver gibi muamele de cabası. Hijyen sıfır. Erzurumlular burayı kapattırmalı."
1.0,"Eşimle Bursa'dan özellikle Erzurumlu olduğum için bu lokantaya geldik. Elinde meze tabaklarıyla bir çocuk ve  saygısız garson başımıza dikildi. Eşim"" bunlar ikram mı nedir?"" diye sordu. Saygısız garson sesini yükselterek ""ne bedavası bu devirde kim kime bedava birşey veriyor"" dedi. ""Sen ne biçim konuşuyorsun müşteriyle"" dedim. Garson iyice sesini yükselterek bizi tartışmanın içine çekti. Müşteriler durup seyretti bu olumsuzlukları. Yazıklar olsun ! İşe göre adam almazsan olacağı budur. Patron para kazanmanın peşinde koşarken garsonlar müşterilerle kavga ediyor. Kontrol sıfır. Bir daha mı asla önünden bile geçmem bu lokantanın."
1.0,İftar için  değişiklik olsun diye arkadaşlarla gittik ama masa düzeni çalışan garsonların tavrı çok berbattı
1.0,"Bugün Sirkeci‘de gidip masaya oturduk olabildiğince dağınık ve düzensiz hijyene dikkat etmeyen bir yapıları var garsonların. Aynı zamanda maskeleri yok neden maskeleri takmıyorsunuz dediğimizde hiç kimse takmıyor zaten diye laubali bir cevapla sizi kaale almıyorlar. Cağ alabildiğine yağlı ve gereksiz bir pahalılık. Garson acılı ezme,yoğurt salata gibi seçenekte gelip sanki ikrammış gibi masaya koymaya çalışıyor halbuki onların her birisi alabildiğine pahalı küçük bir salata tabağı 16 TL olabilir mi?  Keşke yarıda bırakıp kalksaydık. İnsan gıda ve restoran işinde Çok titiz ve temiz olmalı!"
2.0,Ailece gittiğimiz mekana kalabalık olmasına rağmen servis hızlıydı fakat çağ kebabında umduğumuzu bulamadık et çok sert ve neredeyse tamamına yakını yağdı.servisten önce gelen yoğurt lezzetliydi ezme ve salatada fena değildi fakat salatalarla beraber getirilen kadayıf sarmaya anlam veremedik sadece ücrete tabi tutmak için mi anlamadık!!!Denemiş olduk tekrar gider miyim sanmam !!!hayırlı işler
2.0,"Ailece gittiğimiz mekanda servis kalabalık olmasına rağmen gayet hızlıydı fakat etinde maalesef umduğumuzu bulamadık et çok fazla yağlı ve sertti çocuklar sertlikten yiyemedi ortaya gelen manda yoğurdu güzeldi,ezme ,salata fena değildi bunların  yanında hemen tatlı gelmesi biraz abes geldi yemekten önce salatalarla beraber 5 kişiye bir tane kadayıf sarma o da ücretli çok saçma olmuyor mu sonuç olarak tekrar gidermiyim?sanmam!hayırlı işler"
3.0,"Sirkecideki mekanın popüler olduğunu bilmeden gitmiştim Bu sefer bilerek gittim Sokakta oturmak keyifliydi Mercimek çorbası ezo gelin gibiydi Manda yoğurduda fena değildi Erzurumdada mucidi denen yerde kebabı yemiştim, kuru bulmuştum Burada yediğim daha kalın, hafif yumuşak, daha lezzetli idi İki şişlik bir porsiyon cağ kebap 34 liraydı Memnun kaldık Bazen çok kalabalık oluyor ama servis hızlıydı"
1.0,"Eşimle beraber gittik , çağ kebabının yanında salata bile ekstra para ile veriliyor , çağ kebabına gelecek olursak yarısi yağ yarışı etti , et de yağlı etti , turistik bir mekan olmuş , verilen paraya kesinlikle değmez , yede git mantigiyla işletilen bir mekan tavsiye etmiyoruz ."
4.0,Sirkeci'de bulunan ve cağ kebap yapan yerdir her daim kalabalıktır kim yemeğini bitir kalkarsa yerine onu oturuyorlar salatası ezmesi ekrandır şişlerle beraber servis yapılıyor lezzeti yerinde fiyatı da iyi salgından dolayı çalışanlar maskeli hizmet ediyorlar engellilerin girişine uygundur.
4.0,"Çağ kebabının tadı güzel ama porsiyon gramajı çok yetersiz, 2 porsiyon çağ kebabı, 1 minik tabak süs salatası, bir minik tabak ince bir tabaka şeklinde ezme, 1 küçük yoğurt ve 2 şalgam’a 92 tl ödedik, bize bir adisyon vs de vermediler, dışarda insanlar bekliyor diye uzatmadan çıktık, fazla mı aldılar (muhtemelen fazla aldılar) emin değilim.. benim sorum şu sahibi sayın beyfendi zaten dünyanın parasını kaldırıyorsun bu mekandan, maşallahı var tıklım tıklım bari salatayı ezmeyi falan hakkaniyetli versen, sonuçta sorulmadan ikram gibi masaya bırakılıyor.. bu sebeple puan kırıyoruz, lütfen bunu patronunuza iletin, yanlışlıkla alınan 1 lira dahi olsa sonra 1 lira İçin hakka geçmeyin.."
5.0,Erzurum yatik doneri yapiyorlar.Her zaman kalabalik .Yer bulmak zor.Ikramlari da fiyata yaziyorlar.Buna dikkat edin diyorum.Lezzet iyi mi iyi..
1.0,Şu ana kadar en iyisini Van da(Erzurum'a hiç gitmediğim için bir şey diyemiyorum) yediğim cağ kebabını büyük beklenti ile bir cuma günü eşimle gidelim dedik.Mekan fazlasıyla kalabalık olması yüzünden hangi masada boşluk varsa hemen oturtuluyorsunuz.Biz de bir çiftin oturduğu masaya oturtulduk.Ardından garsonlar ortada elinde soğan salatası ve domatesten oluşan bir salata ve ezme ile masa masa istiyor musunuz diye dolanıyorlar.Biz tabi mekanı bilmeyince hepsini istedik.Ardından ne kadar yersiniz ya da çok bahsedilen kesildikten sonra pişsin mi ya da pişmesin mi diye sormadan önümüze birer porsiyon getirdiler.Yemeye başladıkça yağlı ve sonradan pişirme işini yapmadıklarını düşündürdüler.Çok tat almadığımız için birer porsiyon yiyip hesabı istedik.Şiş fiyatı olarak İstanbul şartları için uygun bir fiyat olsa da ezme ve domates ile salatalıktan oluşan salatadan toplamda 16 TL almaları çok acayip geldi.Salata için özel olarak toplasan gelen tabakta bir salatalık bir tane de domates vardır.Bunun için 8 TL isteniyor olması çok enteresan.4 şiş çağ kebap bir tane su ezme ve domates salatasına toplam da 69.5 TL ödedik. Kesinlikle ne beklentinizi karşılayan bir et ne de aldığı fiyatı hak eden bir işletme bir daha gidilmeyecek listemize eklendi.
4.0,"Sirkeciye gidildiğinde etrafta tercih edebileceğiniz restoran çok sayıda. Şehzade Cağ Kebap ise klasik bir dönerden farklı olarak ince lavaş, iyi kebap yanında gelenler sadelik, lezzet ve pratikliğiyle kendisini özleten bir tat."
5.0,"Tavsiye üzerine geldim, çok begendim her șey harikaydı, gerek servis olsun gerek lezzzetleri olsun çok güzeldi. Herkese tavsiye ederim mutlaka gitmeniz gereken isstanbul da ki en iyi çag kebabcısı."
5.0,Mükemmel bir lezzet benim tavsiyem kendini mideni seven herkes burda yemek yesin tam lezzet Kemal beye teşekkürler
5.0,Lezzetli hos goru samimiyet dusurtluk bende tam puan her kese tavsiyem kesinlikle burda oturup kefiyle yemek yiyin kemal beye ayrica tesekurler
5.0,"Herşey çok lezzetliydi gerçekten bazen berbat yazan yorumculara şaşırıyorum fast food olarak değerlendirir isek çok başarılı 
Tavsiye ederim"
5.0,"Cağ kebabı yediğim en güzel yer! Fiyatları bir tık pahalı, mezeleri harika, ayranı dahi güzel . Kötü olan her daim  çok sıra olması ama lezzet buna değiyor."
5.0,"Çağ kebabının en güzel yapıldığı bir kaç yerden biridir. Kalabalık her daim var. Ancak yine de yer buluyorlar, o kadar kalabalığa da hizmette yetişiyorlar. Tebrik ediyorum, Tavsiye ediyorum.."
5.0,"Cağ kebabını beceremeyen onca yeri denedikten sonra tam cağ kebabı faslını kapatacakken cağ kebabını bana sevdiren tek yer. 

Lezzet muhteşem. 
Mekan salaş ama mekana takılmayın, etin lezzetine odaklanın..."
1.0,"28.10.2019 tarihinde ailecek geldik. Öncelikle çok sıra olduğunu belirtmek isterim. Bizede sıra geldi ve yemeğimizi söyledik. Gelen etler pişmemişti ve şişin çoğunluğu et değil yağdan oluşuyordu. Talebi karşılamak için şişlerin tam olmadan servise sokulduğunu buradan anlıyoruz. Diğer konu masaya sadece sumaklı soğan geliyor ve en komiği söğüş ekstra. Ezme ve yoğurt zaten ekstra. Böyle bir işletmenin ufak şeylerden kaçınması çok komik. 4 kişi birer porsiyon(2 adet küçük şiş) cağ ve ekstra söğüş ezme yoğurt söyledik 137,5TL tuttu. Gerisini sizlere bırakıyorum"
4.0,Salas bır mekan ama et enfez cok begendım ama masaya gelen ezmme ve salata vasattı yogurt on numara personel ılgilıydi bıraz kalabalık sadece kuzu etı sevenler için ıdeal bır yer tafsıyem sadece et İle sgan yıyın
5.0,Eminönü'nde Tarihi Hocapaşa restoranlar çarşısının hemen girişinde yer alan Şehzade İstanbul'da bu zamana kadar denediğim Cağ kebaplarından en iyisi olarak söyleyebileceğim lezzete sahip.Öğle tatilinde oldukça kalabalık olan mekanın dışarıda bir kaç masası ve içeride 2 katlı kapalı alanı mevcut.Cağ kebabı menünün başrol oyuncusu ve tek başına yeterli.Çalışanları hızlı ve nazikler.Siparişiniz makul bir sürede geliyor.İsteğe göre başlangıçta çorba ve son olarak tatlı isteyebilirsiniz.Ortalama fiyatta ve iyi kalitede memnun ayrılacaksınız.
5.0,4 sene önce geldiğimle aynı lezzet bozmadilar hiç. Salaş sokak arası Bi yerde. İster istemez geliyor bittikçe isterseniz getiriyorlar. Lezzeti de çok iyi pisimi de. İki kişi 5sis için 70lira odedik
5.0,"İsminden de ablasilacagi uzeri, cag kebabi ile meshur bir mekan. Kebab biraz yagli ama benim gibi yagli sevenler icin harika ve denenmesi gereken bir lezzet. Belkide istanbuldaki en lezzetli cag kebap mekani diyebilirim. 

As you can understand from its name, its best with cag kebab. ist contains more fat but if u like meat a little bit fatty meat like me, its very delicious for you. Maybe its the best in istanbul for cag kebab."
5.0,Yıllardır bu kaliteyi ve hizmeti korumaları takdire şayan. Eminönü bölgesinde yemek yenilecek yerler arasında muhakkak gidilmesi gereken bir mekan
3.0,Beklentiyi çok yüksek tutmayın. Cağ kebabı güzeldi ancak yorumlara bakınca aşırı lezzetli olacakmış gibi bir beklentiye giriyor insan. Herhangi bir cağ kebapçıda da aynı lezzet bulunur. Ayrıca garsonların ekstra fiyatlı olan meze tabaklarını bundan da alırmısınız diye tek tek gösterip gözünüze sokması hoş değil. Lezzete 4 puan verebilirdim ancak garsonların bu tür hareketlerinden de 1 puanı kestim. Bilgilerinize.
1.0,Ben hayatimda bu kadar kucuk porsiyona bu kadar para vermedim. Karnizin doymasi icin en az 3 porsiyon siparis vermeniz gerekiyor. 30 gram ya var ya yok bunun 15 grami yag zaten bir daha Asla gitmem.
5.0,Sirkecinin gurmeciler sokağında salaş bir lokanta.Gorunuse göre vasat olan bu mekanda et yemek bir ayrıcalık bence sislerde servis ediliyor isteğe göre pişiriliyor İnce lavaş ve soğanla 10 numara  bı lezzet cikiyor ortaya denenmesi gereken bir lezzet
5.0,Eğer canınız cağ kebabı çektiyse ve lokasyon olarak eminönü tarafındaysanız mutlaka gitmeniz gereken yer şehzade cağ kebaptır...şimdiden afiyet olsun
5.0,Yöresel yemek için italyan bir arkadaşı götürdük çocuk çok yemek yemiyordu 2 3 tabak cağ kebabı yedi çok lezzetli dedi.
5.0,"İstanbul’un en turistik yerinde , kalabalığın içinde, küçük sandalyelerde bu lezzetli kebabı yemek çok keyifliydi. Servis hızlı. Çok beğendik. Fiyat bilgisi veremeyeceğim çünkü ben ödemedim☺️"
5.0,"Bölgedeki en iyi seçeneklerden, ziyareti hakediyor. Çağ kebabı istanbulda en iyi yapan yerlerden biri. Çok ziyaret ettim, 6-7 şiş yemişliğimde oldu, 2de kaldığımda. Garsonlar çok misafirperverdir. Öğle saatleri genelde kalabalık olur."
1.0,"Çiftler için uygun bir restoran değil, iftar için gittiğimizde belirtmiş olmamıza rağmen rahatsız olacağımız belli olan bir masa ayrılmıştı. Cağ kebapları da çok iyi değil istanbulda daha iyisi var."
5.0,"İstanbul’daki en güzel cağ kebapçısı olabilir.
Gerçekten çok lezzetli!
Defalarca gittim , yine giderim.
Mutlaka deneyin!"
4.0,"Şehzade Çağ Kebap,Sirkeci’de ,Hocapaşa da yer alır.Erzurum’un meşhur yatık dönerini burada tadabilirsiniz.Masaya,önce yoğurt,acılı ezme ve çoban salata geliyor.Daha sonra şişlere takılı vaziyet de et ve lavaş ekmeği geliyor.Dürüm yapıp ,afiyet ile yeniliyor."
3.0,"burası Erzurumun meşhur cağ kebapı tad ne kadar güzel olursa olsun doyum zor 
keyifli bir yer ama gün geçtikçe tutuldukça biraz kaba davranan garsonlarda oluyor 
genede bir kere bile olsa tadın derim."
3.0,"İyi bir et döner tadı, fakat porsiyonu az. Lezzetli, biraz yağlı, fiyat olarak ortalama. Tavsiye ederim."
5.0,"Hızlı ve pratik bir servis.abartılı sunumlardan uzak esnaf işi .porsiyonlar çok doyurucu .etseverlerin tek porsiyon ile yetinmeleri imkansız .salata sıradan ,yoğurdu mükemmel.fiyatlar makul."
5.0,"Erzurum'a çağ kebap için gitmeye gerek yok eğer İstanbul'da yaşıyorsanız. Etin lezzeti anlatılmaz yaşanır. Manda yoğurduyla beraber afiyetle bu eşsiz lezzetin tadına varabilirsiniz. Mekan ufak ve salaş, öğlen oldukça kalabalık ama çağ kebap için bir cennet."
5.0,Çok kaliteli hizmet ve kebap. Çalışanlar çok kaliteli.Servis çok düzgün.İstemiş olduğum kebap biraz yağlı gelince tüm et değiştirilip yeni et takılıp pişirildi.En ufak bir zorlama olmadan üstelik Böyle kaliteli hizmete.Tebrikler
5.0,"Arkadaşlarımızla beraber 4 kişi gittik, her şey mükemmeldi ilgi alaka, özellikle kebabın tadı muhteşemdi kesinlikle bir daha gideceğiz"
5.0,Harika bir et soganla beraber muhtesem oluyor.fiyati normal bir porsiyon 24 tl.cag kebap yemek isteyen dusunmesin gitsin
5.0,Kuzu çevirme bu olsa gerek kuzu severler için güzel bir tercih istanbulda çağ kebabı yiyebileceğiniz adres burası Fatih bölgesine gelirseniz aç gelin bu salaş mekanda mutlaka karnınızı doyurun
4.0,Tok iken 4 şiş yedim aç halimi düşünemiyorum... Hem hizmet kalitesi hemde etlerin lezetti çok iyi idi. Begendim valla 100 karakter yazmam mı lazım inandırmak için :)))))
3.0,"Öncelikle haklarını vermek gerekirse hizmet hızlı ve güleryüzlü. Kebap etide lezzetli. Porsiyon 2 şiş, ortaya sumaklı soğan, yoğurt ve salata. Anlatıldığı kadar ahım şahım bir yer değil. İdare eder. Porsiyon 40 tl hesap geldi. Küçük salaş bir mekan. Yolunuz düşerse siz bilirsiniz."
2.0,Yeri dar çok kalabalık temizlik sıkıntılı buna dar kesilen gramajı düşük şişler eklenince yemeğin ne tadı kalıyor ne tuzu yoksa kebabı lezzetli allah var fiyat şişi 13 lira doymak için 4 şiş şart
5.0,"Öncelikle düzgün cağ kebap için İstanbul'da kalan birkaç adresten biri. Etleri gayet lezzetli ve usulünde, biz direk kesilip ızgaraya attırmadan az pişmiş aldık, tam lezzetli ve sulu geliyor tavsiye ederim. Sumaklı soğanla deneyin mutlaka.
Fiyat şiş başı 12 TL. Açıkçası olması gerekenden 2 TL fazla ama lezzetle açığı kapatıyor. Tek eleştirim ayranın kapalı oluşu, kendileri güzel bir açık ayran yapsalar tadından yenmez."
4.0,"Sirkecide çalıştığımdan dolayı, etraftaki restaurantların hemen hemen hepsini tatmış biriyim. Cağ kebap olarak etin kalitesi ve lezeeti oldukça memnun edici, yalnız hocapaşa için fiyatların bana göre yukarıda olduğu bir restoran, cağ fiyatını makul bulmakla birlikte sorulmadan ve istenmeden ortaya yarımcılar için adisyonda fiyatları görünce şaşırdım oldukça da yüksekti. cağ için gidilebilir, ama fiyatlar yüksek."
2.0,"Yurtdisindan iki misafirimle çag kebap yemek için gittik. Yemek bitti 3 çay istedik, yan masadaki aileye çag kebap ikram eden garson biz çay isteyince cumartesi çay servisimiz yok isterseniz yandaki başka dükkanda size çay söyletebilirim gibi saçma, saygisiz, hakaretvari bir teklifte bulundu. Ne birdaha giderim nede tavsiye ederim."
4.0,"Eti seviyorsanız, çağ kebabını seviyorsanız   burası doğru adres. Sirkeci Hocapaşa Tarihi lokantaların olduğu  Sokağın hemen girişinde sizi bekliyor.  Kesip,kesip şişe takıp getiriyorlar çag kebabını.  soğutmadan ince  lavasın icine sarıp , yiyorsunuz. Doyamıyorsunuz."
5.0,"İnanılmaz lezzetli, hayatımda yediğim en iyi cag kebap buydu. Yanında yoğurt isteyin, kıvamlı ve çok lezzetli. kebap için fiyat şiş başına 12 tl civarıydı. oturacak yer bulabilirseniz şanslısınız. sultanahmet bölgesinde böyle bir lezzet daha olduğunu düşünmüyorum. unutulmaz bir lezzet."
5.0,Bir söz ile anlatılmaz gidin yaşayın derim.Hala tadı damağımda kalan gerçekten yıllardır işin hakkını veren nadir işletmelerden.Şiddetle tavsiye ederim.Fiyatlar lezzete göre normal.
5.0,Erzurumda denemedim ancak olsa olsa bukadar başarılıdır...mekan bunca iş yapmaasına ve para kazanmasına ragmenn neden düzgün bir dekor yapmaz bu tip esnaf restoranları bir türlü anlayamadım...keza lezzet herşeyin üzerinde  olduğundan oyum 5
5.0,"Küçük bir dükkan ve önünde birkaç sıra masa. İlk bakışta sıradan bir lokanta gibi görünse de cağ kebabını bir kez yiyenin unutması imkansız. Lezzeti, kıvamı, acısı, tuzu tam ayarında; isteyene bol yağlı, isteyene ''sıfır'' yani hiç yağsız.Lavaş ile şişte servis ediliyor, gerçek bir lezzet şöleni. Sirkec'ye yolunuzu düşürün ve mutlaka deneyin."
5.0,"Yahu kardeşim bu nasıl bir lezzet ❤️ İnanın bu mekanın ismi aklıma gelince ağzım sulanıyor ve cağ kebabın tadı dilime geliyor 😋😍 Gerçekten de Türkiye’de sayılı lezzette et yiyebileceğiniz bir mekan. Şehzade bu işin kralı ❤️🙏🏻 Bu arada en lezzetli döner yatık dönerdir, kuzu etindendir ve hepsi burada 👍🏼🙏🏻😋"
5.0,"Cağ kebabı bir Erzurum gelgör de birde Şehzade’de yenir..,Gideceğim bir kaç cağ kebabı yapan yerlerde var buradan paylaşacağım..."
5.0,"İstanbul’da Cağ kebabı yiyebileceğiniz en iyi yer diyebilirim. Tek kelime ile enfes, et’ler ağzınızda dağılıyor.

Ayrıca çalışanlar çok çok sıcak kanlı insanlar. Servis çok iyi ve hızlı. Sanki misafirliğe gitmiş gibi hissettiriyorlar size.

Önerilerim;
*Cağ’dan önce corba içmeyin pişman olursunuz. Çünkü doyup az cağ yerseniz üzülürsünüz.
* Mutlaka az pişmiş şekilde isteyin ve tadın bayılacaksınız. (Az pişmiş derken çok iyi ayarlıyor)
*Yanında domates alın enfes oluyor.
*Güveç yoğurt tavsiye ederim.
*Tatlı tavsiye etmem.

Dikkat edilmesi gereken şeyler;

* Pazar günü gitmeyin kapalılar
* öğlen yemek saatlerinde giderseniz sıra bekleyebilirsiniz
*Araba ile gitmeyin otopark sorunu var (bulunduğu bölgeden kaynaklı)
*Kabataş tramvayı ile gidebilirsiniz Sirkeci durağına 5 dakika yürüme mesafesi."
5.0,"İstanbul da en iyi cağ kebap yapan ilk 3 arasında.Cağ kebap özen ve ustalık ister,herkes cağ kebabını, gerçek ve olması gereken lezzetinde yapamaz.Eskiden en güzel cağ kebabı Üngüzek te yapılırdı,burada yiyeceğiniz lezzet neredeyse aynı.Yapanların ellerine sağlık,çok başarılı bir iş çıkarmışlar.Yer sıkışıklığı ve servisi sorun etmeyin,her zaman olumsuz olmuyor,kendinizi yiyeceğiniz cağ kebabın lezzetine odaklayın.Fiyatlar istanbul genelindeki cağ kebabçılara oranla gayet makul.Tavsiye ediyorum."
1.0,"Biz yeterli parayi kazanıyoruz, pazar günü çalışmasak da olur mantığındaki esnaf lokantası. Açık olan günlerde giderseniz başka insanlarla dipdibe yemek yersiniz. Garsonlar gereksiz laubali olmayı sever. Cağ kebap iyi olabilir ama işletme çok kötü."
3.0,"Bir yer ne kadar meşhur olursa o kadarda vasatlaşıyor.etin içinde çok sert yerler vardı,3 kişi için gelen herşey küçük porsiyondu.8"
5.0,"Defalarca başka yerlerde cağ kebabı yememe rağmen burada ki lezzeti başka yerde bulamadım .eti çok lezzetli mekan öğle saatlerinde çok kalabalık oturacak yer bulursanız servis çok hızlı yemek için beklemiyorsunuz etin yanında isterseniz ücretli şekilde ezme,yoğurt,soğan ve salata mevcut.Tatlı olarak da kadayıf dolmayı tavsiye ederim."
1.0,Öğle yemeğine gittik. Bir porsiyonla doyulmuyor. Elli gram ete o kadar para çook fazla tavsiye etmiyorum.
5.0,Cag kebap degince ben en iyisi en lezzetlisi. Gunun her saati kalabalik olmasina rahmen hic geri dondurmediler. En son iftari orada actik.emegi gecn herkese tesekkurler.
4.0,Bir Erzurumlu olarak Erzurum dışında yediğim ilk cağ kebabıydı ve guzeldi. Yaninda verilen yogurt da guzeldi fakat cag kebabi icin demiyorum ama cağın yaninda verilen salatanin mezenin vs ucreti daha uygun olabilirdi. Ama genel olarak iyiydi.
4.0,"sirkeci tramvay durağına 2 dakika yürüme mesafesinde tarihi hocapaşa lokantaları sokağında bulunan bu restoran, daha doğrusu lokanta, muhtemelen size muadilini sadece erzurum'da tadabileceğiniz cağ kebap sunuyor. kadayıf dolması da ayrıca güzel. fiyatlar bi tık daha ucuz olsa her gün gidilir diyeceğim ama bu haliyle de ekstra pahalı değil. mutlaka denemenizi tavsiye ederim."
2.0,"Lezzet olarak fazlasıyla beklentiyle gittik fakat hayal kırıklığı ile döndük. Ne cağ kebabı, ne yoğurt, ne de tatlı iyiydi. Çalışanlar iyiydi, 2 puanı da oradan verdim."
4.0,"Yoğunluk hat safhada fakat sebebi kalite, cağ kebabı denince İstanbulda ender mekanlardan biri, özellikle güveç yoğurt ta muhteşemdi, kişi başı en az zevkle 5 şiş yersiniz."
4.0,Erzurum'a can kebabı için gitmeye gerek yok. oldukça başarılı ve lezzetli. kesinlikle tavsiye edilir.
4.0,Çok yogun bır yer ufacık sanki savaş var gibi) fakat gercekten çok lezzetli cağ kebap yapıyorlar yogun ilgi var lakin fiyatlar biraz daha dusuk olabılırdı biraz pahallı geldı açıkcası
4.0,Biraz yoğun bir mekan..salaş ama çok lezzetli bir çağ kebabı sunuyorlar..tek sıkıntısı ki benim için çok mühim..garsonlar içeride müşteri kaynarken aralarında küfürlü konuşmalarda bulunuyorlar..aslında vicdanlı anıma denk gelmese bir puan dışında vermezdim..işletmenin emegini bu kişiler için yakmak istemiyorum..
5.0,Kesinlikle kuyruk bekliyorsunuz ama değiyor buna et mukemmel servis çok hızlı biraz pahalı ama hakiki kaliteli kuzu eti yiyorsunuz insanin 10 şiş falan yiyesi geliyor
5.0,"Kesinlikle tavsiye ederim. Yemek yemeyi seviyorsanız, bir porsiyon doyurucu olmuyor.. Tek sıkıntısı o :) Yoğurt yemenizi de öneririm."
5.0,"Sirkeci'de küçük bir yer. Çağ kebabı oldukça lezzetli. Dolma kadayıfı da gayet iyi. Hizmeti, personelin güler yüzlülüğü ve patronların ilgisi on numara. Kalite, lezzet ve hizmetine göre fiyatı da gayet uygun sayılabilir."
5.0,Erzurumdakine eş değer bir mekan lezzet süper..ünlülerin bile sıklıkla geldiği bir mekan tavsiye ederim
4.0,"Mekan oldukça salaş ve esnaf lokantası tarzında olsa da Çağ Kebabının lezzeti herşeyi unutturuyor.

Ortam ve mekana takılmayanlar için muhteşem.
Erzurumda bir çok yerde yedim fakat gördüm ki oraya kadar gitmeye gerek yokmuş."
